货品编码,货品名称,货品规格,单位,上期结存|数量,本期收入|数量,本期发出|数量,本期结存|数量
2001218,有机白砂糖,25KG/袋,KG,13.9697,0,0,13.9697
2001284,2-36大物流码,,个,12.6608,0,0,12.6608
2001285,2-36小物流码,,个,504,0,0,504
2001296,有机全脂奶粉,,KG,195.1804,0,0,195.1804
2001700,有机溶豆-原味彩盒,,个,2916,0,0,2916
2001701,有机溶豆-蓝莓味彩盒,,个,8598,0,0,8598
2001702,有机溶豆-胡萝卜味彩盒,,个,1808,0,0,1808
2001703,有机溶豆-苹果味彩盒,,个,1231,0,0,1231
2001704,有机溶豆-原味卷膜,,KG,166.9896,0,0,166.9896
2001705,有机溶豆-蓝莓味卷膜,,KG,223.7728,0,0,223.7728
2001706,有机溶豆-胡萝卜味卷膜,,KG,174.9718,0,0,174.9718
2001707,有机溶豆-苹果味卷膜,,KG,159.6056,0,0,159.6056
2001708,有机溶豆外箱,,个,590.3304,0,0,590.3304
2001011,有机蓝莓粉,,g,10463.2088,0,0,10463.2088
2001012,有机胡萝卜,,KG,949.7193,0,0,949.7193
2001013,有机苹果,,KG,5967.4399,0,0,5967.4399
2001729,有机溶豆空白外箱-试用装,,个,54,0,0,54
2001731,溶豆原味试用装卷膜,,KG,9.2,0,0,9.2
2001732,溶豆蓝莓味试用装卷膜,,KG,67.9,0,0,67.9
2001733,溶豆胡萝卜味试用装卷膜,,KG,102.1,0,0,102.1
2001734,溶豆苹果味试用装卷膜,,KG,70.875,0,0,70.875
2201094,彤臻有机溶豆原味卷膜,,KG,68.2972,0,0,68.2972
2201095,彤臻有机溶豆蓝莓味卷膜,,KG,84.8896,0,0,84.8896
2201096,彤臻有机溶豆胡萝卜卷膜,,KG,80.1635,0,0,80.1635
2201097,彤臻有机溶豆苹果味卷膜,,KG,71.1675,0,0,71.1675
2201099,彤臻有机溶豆蓝莓味彩盒,,个,11,0,0,11
2201100,彤臻有机溶豆胡萝卜味彩盒,,个,6,0,0,6
2201101,彤臻有机溶豆苹果味彩盒,,个,230,0,0,230
2201102,彤臻有机溶豆外箱,,个,19.0617,0,0,19.0617
2201103,彤臻溶豆原味试用装卷膜,,KG,72.5,0,0,72.5
2201104,彤臻溶豆蓝莓试用装卷膜,,KG,115.42,0,0,115.42
2201105,彤臻溶豆胡萝卜试用装卷膜,,KG,121.9,0,0,121.9
2201106,彤臻溶豆苹果试用装卷膜,,KG,118.72,0,0,118.72
