货品编码,货品名称,货品规格,单位,上期结存|数量,本期收入|数量,本期发出|数量,本期结存|数量
2001001,有机大米,,KG,435.1164,0,0,435.1164
2001006,有机玉米粉,,KG,2280.1324,0,0,2280.1324
2001218,有机白砂糖,25KG/袋,KG,1115.248,0,0,1115.248
2001284,2-36大物流码,,个,45.88,0,0,45.88
2001285,2-36小物流码,,个,900,0,0,900
2001296,有机全脂奶粉,,KG,462.186,0,0,462.186
2001370,有机小麦粉,,KG,98.152,0,0,98.152
2001004,有机大豆油,,升,933.022,0,0,933.022
2201120,彤臻有机泡芙外箱,,个,328.3816,0,0,328.3816
2201121,彤臻有机泡芙膜,,张,126258.6998,0,0,126258.6998
2001750,傲滋有机泡芙外箱,,个,127.94,0,0,127.94
2001751,傲滋有机泡芙膜,,张,56965,0,0,56965
