货品编码,货品名称,货品规格,单位,上期结存|数量,本期收入|数量,本期发出|数量,本期结存|数量
1001085,傲滋U哺有机营养米粉-淮山薏米180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001086,傲滋U哺有机营养米粉-胡萝卜180g,20g*9袋*24盒/箱,盒,123,0,48,75
1001087,傲滋U哺有机营养米粉-燕麦南瓜180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001088,傲滋U哺有机营养米粉-黑米红枣180g,20g*9袋*24盒/箱,盒,0,0,0,0
1007112,傲滋U哺原味试用装10g,10g/袋,袋,0,0,0,0
1001054,傲滋有机营养米粉高蛋白400g,20g*20袋*12罐/箱,罐,991,0,991,0
1001055,傲滋有机营养米粉核桃粉400g,20g*20袋*12罐/箱,罐,2,1363,1358,7
1001056,傲滋有机营养米粉胡萝卜400g,20g*20袋*12罐/箱,罐,716,1032,1748,0
1004008,傲滋乳钙凝胶糖果1.4克*45粒,36盒/箱,盒,0,0,0,0
1004009,傲滋DHA藻油凝胶糖果0.75克*45粒,24盒/箱,盒,5,4320,779,3546
1007206,傲滋乳钙凝胶糖果试用装2粒,2粒*1200袋/箱,袋,0,0,0,0
1007207,傲滋DHA藻油试用装2粒,2粒*1200袋/箱,袋,0,0,0,0
1012006,傲滋有机营养蝴蝶面原味210g,30g*7袋*24盒/箱,盒,143,1248,1391,0
1012007,傲滋有机营养蝴蝶面胡萝卜210g,30g*7袋*24盒/箱,盒,418,1008,1426,0
1012008,傲滋有机营养面片原味210g,30g*7袋*24盒/箱,盒,264,480,504,240
1012009,傲滋有机营养面片胡萝卜210g,30g*7袋*24盒/箱,盒,264,120,384,0
1015001,傲滋牛初乳复合蛋白质粉固体饮料（罐）,12克/袋*30袋*12罐/箱,罐,0,0,0,0
1015002,傲滋低聚果糖复合蛋白质粉固体饮料（罐）,12克/袋*30袋*12罐/箱,罐,0,0,0,0
1015003,傲滋水苏糖固体饮料（罐）,2克/袋*50袋*12罐/箱,罐,497,0,186,311
1004010,傲滋DHA藻油凝胶糖果礼盒装0.75克*90粒,12盒/箱,盒,759,1200,1479,480
1007801,傲滋牛初乳复合蛋白质粉试用装12克/袋,12克/袋,条,5070,0,0,5070
1007802,傲滋低聚果糖复合蛋白质粉试用装12克/袋,12克/袋,条,360,0,0,360
1007803,傲滋水苏糖固体饮料试用装,2克/袋,袋,5890,0,750,5140
1016001,傲滋海藻粉凝胶糖果,1.19克*30粒*24(瓶)盒/箱,盒,1621,0,0,1621
1016002,傲滋蘑菇粉凝胶糖果,1.09克*30粒*24(瓶)盒/箱,盒,2623,0,0,2623
1001090,傲滋有机汤米粉原味320g,20g*16/罐*12/箱,罐,926,0,916,10
1001091,傲滋有机汤米粉钙铁锌320g,20g*16/罐*12/箱,罐,302,0,302,0
1001092,傲滋有机汤米粉缤纷水果320g,20g*16/罐*12/箱,罐,303,0,300,3
1001093,傲滋有机汤米粉核桃莲子320g,20g*16/罐*12/箱,罐,761,0,288,473
1001100,傲滋有机汤米粉原味160g,20g*8/盒*24/箱,盒,1608,0,1608,0
1001101,傲滋有机汤米粉钙铁锌160g,20g*8/盒*24/箱,盒,411,2011,1630,792
1001102,傲滋有机汤米粉缤纷水果160g,20g*8/盒*24/箱,盒,982,0,420,562
1001103,傲滋有机汤米粉核桃莲子160g,20g*8/盒*24/箱,盒,1261,0,433,828
1001110,傲滋有机小米粉原味300g,25g*12/罐*12/箱,罐,1018,0,324,694
1001111,傲滋有机小米粉钙铁锌300g,25g*12/罐*12/箱,罐,534,0,468,66
1001112,傲滋有机小米粉五谷杂粮300g,25g*12/罐*12/箱,罐,0,0,0,0
1001113,傲滋有机小米粉果蔬多维300g,25g*12/罐*12/箱,罐,943,0,36,907
1001114,傲滋有机小米粉双歧因子300g,25g*12/罐*12/箱,罐,546,0,36,510
1001115,傲滋有机小米粉DHA＋ARA 300g,25g*12/罐*12/箱,罐,934,0,36,898
1007118,傲滋有机小米原味试用装10g,10g/袋,袋,0,0,0,0
1007119,傲滋有机小米钙铁锌试用装10g,10g/袋,袋,8008,0,0,8008
1007120,傲滋有机汤米原味试用装10g,10g/袋,袋,48350,0,13450,34900
1007121,傲滋有机汤米钙铁锌试用装10g,10g/袋,袋,0,0,0,0
1001121,傲滋有机小米粉钙铁锌赠品装40g,20g*2/罐*48,罐,0,0,0,0
1001122,傲滋有机汤米粉原味赠品装40g,20g*2/罐*48,罐,0,0,0,0
1001123,傲滋有机汤米粉钙铁锌赠品装40g,20g*2/罐*48,罐,0,0,0,0
1014005,傲滋有机溶豆原味,4克*4包/盒*36盒/箱,盒,10,3708,3182,536
1014006,傲滋有机溶豆蓝莓味,4克*4包/盒*36盒/箱,盒,15,0,15,0
1014007,傲滋有机溶豆胡萝卜味,4克*4包/盒*36盒/箱,盒,1363,3708,2155,2916
1014008,傲滋有机溶豆苹果味,4克*4包/盒*36盒/箱,盒,1028,2412,2108,1332
1007705,傲滋有机溶豆原味试用装2粒/袋,0.35克/袋,袋,0,0,0,0
1007706,傲滋有机溶豆蓝莓味试用装2粒/袋,0.35克/袋,袋,0,0,0,0
1007707,傲滋有机溶豆胡萝卜味试用装2粒/袋,0.40克/袋,袋,0,0,0,0
1007708,傲滋有机溶豆苹果味试用装2粒/袋,0.40克/袋,袋,0,0,0,0
1001070,傲滋U哺有机营养米粉-原味320g,20g*16袋/罐*12/箱,罐,97,0,0,97
1001071,傲滋U哺有机营养米粉-钙铁锌320g,20g*16袋/罐*12/箱,罐,422,0,120,302
1001065,傲滋U哺有机营养米粉核桃粉320g,20g*16袋/罐*12/箱,罐,3,0,0,3
1001069,傲滋U哺有机营养米粉-双歧因子320g,20g*16袋/罐*12/箱,罐,601,0,48,553
1001073,傲滋U哺有机营养米粉-胡萝卜320g,20g*16袋/罐*12/箱,罐,884,0,24,860
1001075,傲滋U哺有机营养米粉DHA+ARA320g,20g*16袋/罐*12/箱,罐,0,0,0,0
1001079,傲滋U哺有机营养米粉牛肉蕃茄180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001078,傲滋U哺有机营养米粉缤纷水果180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001077,傲滋U哺有机营养米粉DHA+ARA180g,20g*9袋*24盒/箱,盒,0,0,0,0
1208001,彤臻有机泡芙-原味50克/瓶,50克*36瓶/箱,瓶,1401,0,1,1400
1208002,彤臻有机泡芙-香蕉味50克/瓶,50克*36瓶/箱,瓶,253,0,1,252
1208003,彤臻有机泡芙-DHA50克/瓶,50克*36瓶/箱,瓶,215,0,0,215
1208004,彤臻有机泡芙-草莓味50克/瓶,50克*36瓶/箱,瓶,783,0,1,782
1201001,彤臻有机营养米粉高蛋白225g,25g*9*24盒/箱,盒,1197,0,0,1197
1201002,彤臻有机营养米粉纯米粉225g,25g*9*24盒/箱,盒,900,0,97,803
1201003,彤臻有机营养米粉钙铁锌225g,25g*9*24盒/箱,盒,917,0,0,917
1201004,彤臻有机营养米粉复合维生素225g,25g*9*24盒/箱,盒,941,0,2,939
1201005,彤臻有机营养米粉双歧因子225g,25g*9*24盒/箱,盒,2149,0,0,2149
1201006,彤臻有机营养米粉核桃225g,25g*9*24盒/箱,盒,1071,0,0,1071
1201007,彤臻有机营养米粉淮山薏米225g,25g*9*24盒/箱,盒,312,0,2,310
1201008,彤臻有机营养米粉胡萝卜225g,25g*9*24盒/箱,盒,634,0,1,633
1201009,彤臻有机营养米粉燕麦南瓜225g,25g*9*24盒/箱,盒,585,0,96,489
1201010,彤臻有机营养米粉黑米红枣225g,25g*9*24盒/箱,盒,2176,0,0,2176
1201011,彤臻有机营养米粉高蛋白460g,20g*23*12罐/箱,罐,865,0,1,864
1201012,彤臻有机营养米粉核桃粉460g,20g*23*12罐/箱,罐,233,0,0,233
1201013,彤臻有机营养米粉胡萝卜460g,20g*23*12罐/箱,罐,491,0,3,488
1201014,彤臻有机营养米粉双歧因子460g,20g*23*12罐/箱,罐,531,0,96,435
1201015,彤臻有机营养米粉钙铁锌460g,20g*23*12罐/箱,罐,299,0,40,259
1201016,彤臻有机营养米粉纯米粉460g,20g*23*12罐/箱,罐,329,0,0,329
1201017,彤臻有机营养汤米粉原味180g,20g*9*24盒/箱,盒,513,0,0,513
1201018,彤臻有机营养汤米粉钙铁锌180g,20g*9*24盒/箱,盒,444,0,0,444
1201019,彤臻有机营养汤米粉缤纷水果180g,20g*9*24盒/箱,盒,278,0,0,278
1201020,彤臻有机营养汤米粉核桃莲子180g,20g*9*24盒/箱,盒,508,0,0,508
1201021,彤臻有机营养汤米粉原味380g,20g*19*12罐/箱,罐,286,0,0,286
1201022,彤臻有机营养汤米粉钙铁锌380g,20g*19*12罐/箱,罐,287,0,0,287
1201023,彤臻有机营养汤米粉缤纷水果380g,20g*19*12罐/箱,罐,102,0,0,102
1201024,彤臻有机营养汤米粉核桃莲子380g,20g*19*12罐/箱,罐,231,0,0,231
1202001,彤臻益生源益生菌固体饮料1g*30袋,12盒/箱,盒,0,0,0,0
1202002,彤臻DHA藻油凝胶糖果0.75克*45粒,24盒/箱,盒,1560,0,0,1560
1202003,彤臻DHA藻油凝胶糖果0.75克*90粒(礼盒）,12盒/箱,盒,139,0,1,138
1203001,彤臻乳钙凝胶糖果1.4克*30粒,36盒/箱,盒,2810,0,180,2630
1204001,彤臻水苏糖固体饮料2克*50袋,12罐/箱,罐,229,0,0,229
1205001,彤臻原味宝清宁固体饮料罐装,6g*30袋*24罐/箱,罐,0,0,0,0
1205002,彤臻苹果宝清宁固体饮料罐装,6g*30袋*24罐/箱,罐,80,0,0,80
1205003,彤臻草莓宝清宁固体饮料罐装,6g*30袋*24罐/箱,罐,111,0,0,111
1205004,彤臻雪梨宝清宁固体饮料罐装,6g*30袋*24罐/箱,罐,0,0,0,0
1206001,彤臻有机营养面原味250g,25g*10袋*24盒/箱,盒,0,0,0,0
1206002,彤臻有机营养面胡萝卜250g,25g*10袋*24盒/箱,盒,0,0,0,0
1206003,彤臻有机营养面猪肝菠菜250g,25g*10袋*24盒/箱,盒,0,0,0,0
1206004,彤臻有机营养面牛肉番茄250g,25g*10袋*24盒/箱,盒,0,0,0,0
1206005,彤臻有机营养面鸡肉蘑菇250g,25g*10袋*24盒/箱,盒,0,0,0,0
1206006,彤臻有机营养蝴蝶面原味240g,30g*8袋*24盒/箱,盒,384,0,0,384
1206007,彤臻有机营养蝴蝶面胡萝卜240g,30g*8袋*24盒/箱,盒,240,0,0,240
1206008,彤臻有机营养面片原味240g,30g*8袋*24盒/箱,盒,239,0,0,239
1206009,彤臻有机营养面片胡萝卜240g,30g*8袋*24盒/箱,盒,240,0,0,240
1207001,彤臻有机溶豆原味,4克*4袋*36盒/箱,盒,1568,0,1,1567
1207002,彤臻有机溶豆蓝莓味,4克*4袋*36盒/箱,盒,1734,0,1,1733
1207003,彤臻有机溶豆胡萝卜味,4克*4袋*36盒/箱,盒,1649,0,0,1649
1207004,彤臻有机溶豆苹果味,4克*4袋*36盒/箱,盒,1524,0,0,1524
1017001,傲滋有机泡芙-原味50克/瓶,36瓶/箱,瓶,0,0,0,0
1017002,傲滋有机泡芙-香蕉味50克/瓶,36瓶/箱,瓶,0,0,0,0
1017003,傲滋有机泡芙-DHA50克/瓶,36瓶/箱,瓶,1423,0,612,811
1017004,傲滋有机泡芙-草莓味50克/瓶,36瓶/箱,瓶,0,0,0,0
1209101,彤臻米粉试用装-原味10g*1袋,10g*1袋,袋,1192,0,0,1192
1209102,彤臻米粉试用装-钙铁锌10g*1袋,10g*1袋,袋,1515,0,0,1515
1209301,彤臻乳钙凝胶糖果试用装,,袋,6350,0,0,6350
1209601,彤臻有机溶豆原味试用装,2粒/袋,袋,19370,0,0,19370
1209602,彤臻有机溶豆蓝莓味试用装,2粒/袋,袋,0,0,0,0
1209603,彤臻有机溶豆胡萝卜味试用装,2粒/袋,袋,0,0,0,0
1209604,彤臻有机溶豆苹果味试用装,2粒/袋,袋,0,0,0,0
1018001,傲滋有机米饼-原味36g,36g*24盒/箱,盒,157,0,157,0
1018002,傲滋有机米饼-蓝莓枸杞味36g,36g*24盒/箱,盒,2797,0,2797,0
1018003,傲滋有机米饼-地瓜胡萝卜味36g,36g*24盒/箱,盒,339,0,339,0
1001068,傲滋U哺有机营养米粉-高蛋白320g,20g*16袋/罐*12/箱,罐,0,0,0,0
1001072,傲滋U哺有机营养米粉-淮山薏米320g,20g*16袋/罐*12/箱,罐,0,0,0,0
1001066,傲滋U哺有机营养米粉-燕麦南瓜320g,20g*16袋/罐*12/箱,罐,0,0,0,0
1001067,傲滋U哺有机营养米粉-黑米红枣320g,20g*16袋/罐*12/箱,罐,0,0,0,0
1001001,傲滋有机营养米粉纯米粉225g(不加蔗糖),25g*9*24/箱,盒,1670,1860,3106,424
1001002,傲滋有机营养米粉钙铁锌225g(不加蔗糖),25g*9*24/箱,盒,505,1920,2425,0
1001003,傲滋有机营养米粉胡萝卜225g(不加蔗糖),25g*9*24/箱,盒,752,0,741,11
1001004,傲滋有机营养米粉双岐因子225g(不加蔗糖),25g*9*24/箱,盒,0,1486,1473,13
1002007,傲滋益生源益生菌固体饮料（短双歧杆菌M-16V）,1.5g*30袋/盒*24盒/箱,盒,378,3243,409,3212
1002008,傲滋益生源益生菌固体饮料（乳双歧杆菌Bi-07）,1.5g*30袋/盒*24盒/箱,盒,206,3248,392,3062
1202004,彤臻益生源益生菌固体饮料（大）,1.5g*30袋/盒*24盒/箱,盒,0,0,0,0
1007122,傲滋有机纯米试用装（无糖）10g,10g,袋,0,20000,10100,9900
1004011,傲滋乳钙凝胶糖果1.4克*30粒,36盒/箱,盒,9499,10080,16542,3037
1003012,傲滋鳕鱼肝油软胶囊500mg*10粒*3板,36盒/箱,盒,0,16560,13074,3486
1019001,傲滋福仔牌钙滴剂60ml/瓶,60ml/瓶*24瓶/箱,盒,0,4909,2544,2365
1019002,傲滋福仔牌锌滴剂30ml/瓶,30ml/瓶*24瓶/箱,盒,0,5023,2544,2479
1019003,傲滋福仔牌铁滴剂30ml/瓶,30ml/瓶*24瓶/箱,盒,0,4696,2544,2152
1019004,傲滋福仔牌维C滴剂30ml/瓶,30ml/瓶*24瓶/箱,盒,0,5002,2544,2458
1019005,傲滋福仔牌维D滴剂30ml/瓶,30ml/瓶*24瓶/箱,盒,0,5016,2544,2472
