货品编码,货品名称,货品规格,单位,上期结存|数量,本期收入|数量,本期发出|数量,本期结存|数量
1001057,傲滋有机营养米粉双歧因子400g,20g*20袋*12罐/箱,罐,7,3018,3016,9
1001024,傲滋有机营养米粉高蛋白225g,25g*9袋*24盒/箱,盒,2250,0,2232,18
1001026,傲滋有机营养米粉纯米粉225g,25g*9袋*24盒/箱,盒,824,7074,7898,0
1001027,傲滋有机营养米粉钙铁锌225g,25g*9袋*24盒/箱,盒,2031,7372,9403,0
1001028,傲滋有机营养米粉复合维生素225g,25g*9袋*24盒/箱,盒,1806,2100,1974,1932
1001030,傲滋有机营养米粉双歧因子225g,25g*9袋*24盒/箱,盒,4,5270,5274,0
1001031,傲滋有机营养米粉玉米225g,25g*9袋*24盒/箱,盒,0,0,0,0
1001034,傲滋有机营养米粉核桃225g,25g*9袋*24盒/箱,盒,1713,1540,2389,864
1001037,傲滋有机营养米粉淮山薏米225g,25g*9袋*24盒/箱,盒,447,4592,3535,1504
1001040,傲滋有机营养米粉胡萝卜225g,25g*9袋*24盒/箱,盒,1095,3338,4433,0
1007104,傲滋双歧因子米粉试用装10g,10g/袋,袋,39467,0,22000,17467
1007102,傲滋纯米粉试用装10g,10g/袋,袋,65975,1881,40500,27356
1007103,傲滋钙铁锌米粉试用装10g,10g/袋,袋,82323,0,53100,29223
1001058,傲滋有机营养米粉钙铁锌400g,20g*20袋*12罐/箱,罐,4,5143,4156,991
1001059,傲滋有机营养米粉纯米粉400g,20g*20袋*12罐/箱,罐,2880,1215,4068,27
1010001,傲滋儿童营养复合钙固体饮料6g*20袋,48盒/箱,盒,1761,0,0,1761
1010002,傲滋儿童营养复合铁固体饮料3g*20袋,48盒/箱,盒,1435,0,79,1356
1010003,傲滋儿童营养复合锌固体饮料3g*20袋,48盒/箱,盒,1885,0,236,1649
1007301,傲滋儿童营养复合钙固体饮料试用装,6g/袋,袋,1509,0,100,1409
1007302,傲滋儿童营养复合铁固体饮料试用装,3g/袋,袋,0,0,0,0
1007303,傲滋儿童营养复合锌固体饮料试用装,3g/袋,袋,0,0,0,0
1001041,傲滋有机营养米粉燕麦南瓜225g,25g*9袋*24盒/箱,盒,638,0,638,0
1001042,傲滋有机营养米粉西兰花藕粉225g,25g*9袋*24盒/箱,盒,0,0,0,0
1001043,傲滋有机营养米粉牛肉番茄225g,25g*9袋*24盒/箱,盒,694,1497,1128,1063
1001044,傲滋有机营养米粉黑米红枣225g,25g*9袋*24盒/箱,盒,0,5877,4136,1741
1009007,傲滋益生元葡萄糖5g*50袋,12罐/箱,罐,318,418,378,358
1009008,傲滋无水葡萄糖400g,24罐/箱,罐,0,0,0,0
1007503,傲滋益生元葡萄糖试用装,5g/袋,袋,19840,0,50,19790
1012001,傲滋有机营养面原味225g,25g*9袋*24盒/箱,盒,114,3912,4026,0
1012003,傲滋有机营养面猪肝菠菜225g,25g*9袋*24盒/箱,盒,108,3264,3372,0
1012004,傲滋有机营养面牛肉番茄225g,25g*9袋*24盒/箱,盒,144,2808,2940,12
1012005,傲滋有机营养面鸡肉蘑菇225g,25g*9袋*24盒/箱,盒,382,3408,3790,0
1012002,傲滋有机营养面胡萝卜225g,25g*9袋*24盒/箱,盒,240,3360,3600,0
1005007,傲滋原味宝清宁固体饮料盒装6g*26袋,24盒/箱,盒,3,2151,339,1815
1005008,傲滋宝清宁植物固体饮料罐装6g*42袋,12罐/箱,罐,0,0,0,0
1006002,傲滋多种维生素钙片1.2g*12片*5板,24盒/箱,盒,0,0,0,0
1007504,傲滋宝清宁固体饮料试用装,6g/袋,袋,171,0,0,171
1002005,傲滋益生源益生菌固体饮料(小）1g*6袋,24盒/箱,盒,0,0,0,0
1002006,傲滋益生源益生菌固体饮料（大）1g*20袋,12盒/箱,盒,0,0,0,0
1005010,傲滋草莓宝清宁固体饮料盒装6g*26袋,24盒/箱,盒,821,10,696,135
1005009,傲滋苹果宝清宁固体饮料盒装6g*26袋,24盒/箱,盒,1015,0,480,535
1005011,傲滋雪梨宝清宁固体饮料盒装6g*26袋,24盒/箱,盒,202,1916,624,1494
1007505,傲滋草莓宝清宁试用装,6g/袋,袋,46,0,0,46
1007506,傲滋雪梨宝清宁试用装,6g/袋,袋,60,0,0,60
1007507,傲滋苹果宝清宁试用装,6g/袋,袋,65,0,0,65
1003011,傲滋鳕鱼肝油软胶囊500mg*10粒*4板,36盒/箱,盒,3137,0,1548,1589
1004007,傲滋液体钙软胶囊1450mg*15粒*3板,36盒/箱,盒,7752,0,432,7320
1001080,傲滋U哺有机营养米粉-高蛋白180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001081,傲滋U哺有机营养米粉-双歧因子180g,20g*9袋*24盒/箱,盒,302,0,192,110
1001082,傲滋U哺有机营养米粉-原味180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001083,傲滋U哺有机营养米粉-钙铁锌180g,20g*9袋*24盒/箱,盒,0,0,0,0
1001084,傲滋U哺有机营养米粉-核桃粉180g,20g*9袋*24盒/箱,盒,735,0,144,591
